GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg.echofish:echofish-aws-cruise-splitter-lambda,edu.colorado.cires.cmg.echofish.aws.lambda.cruisesplit,CruiseSplitterLambdaHandler,138,376,29,39,17,64,29,28,8,15
io.github.ci-cmg.echofish:echofish-aws-cruise-splitter-lambda,edu.colorado.cires.cmg.echofish.aws.lambda.cruisesplit,CruiseSplitterLambdaConfiguration,0,21,0,0,0,8,0,4,0,4
io.github.ci-cmg.echofish:echofish-aws-cruise-splitter-lambda,edu.colorado.cires.cmg.echofish.aws.lambda.cruisesplit,CruiseSplitterLambda,110,0,0,0,23,0,3,0,3,0
