GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg.wod:wod-ascii-parquet-transformer,edu.colorado.cires.wod.transformer.ascii2parquet,AsciiToParquet,49,133,3,3,12,35,6,8,3,8
io.github.ci-cmg.wod:wod-ascii-parquet-transformer,edu.colorado.cires.wod.transformer.ascii2parquet,HourMin,0,15,0,0,0,6,0,3,0,3
io.github.ci-cmg.wod:wod-ascii-parquet-transformer,edu.colorado.cires.wod.transformer.ascii2parquet,WodAsciiParquetTransformer,5,113,0,0,1,28,1,1,1,1
